NUM_SEQ;AVALIACAO;DATAVALIACAO;NMEC_AVALIADOR
147198777;2;05/05/2020 14:52;21899700
149157177;1;09/12/2020 08:45;21899700
149220177;1;20/11/2020 11:10;21934800
147504977;1;29/05/2020 08:59;21934800
149279177;1;26/11/2020 15:30;21934800
149310577;1;22/12/2020 10:38;21899700
149314977;1;22/12/2020 09:30;21899700
149329177;1;20/11/2020 09:53;21899700
147022177;1;13/02/2020 09:06;21934800
147099977;2;12/03/2020 16:31;21934800
149398577;1;04/12/2020 12:06;21934800
147748777;1;17/06/2020 11:34;21899700
147158377;1;09/03/2020 11:28;21934800
147833577;2;19/06/2020 11:00;21934800
147848777;1;29/06/2020 15:00;21899700
148022577;2;31/08/2020 12:06;21934800
148066177;3;10/09/2020 10:06;21899700
148080977;3;14/10/2020 16:09;21899700
148095177;1;29/07/2020 10:13;21934800
148123577;1;16/12/2020 13:32;21899700
148167977;1;08/10/2020 10:26;21934800
148291177;1;09/09/2020 12:20;21934800
148334777;1;29/09/2020 16:08;21934800
148529577;3;18/01/2021 12:31;21934800
148552777;2;05/11/2020 13:28;21934800
148610577;1;18/09/2020 10:29;21899700
148772977;1;29/10/2020 13:50;21934800
148799377;1;20/11/2020 11:49;21934800
148861377;1;27/11/2020 09:09;21934800
148898577;1;28/09/2020 11:55;21899700
146959777;1;21/02/2020 11:10;21899700
147121977;2;20/02/2020 14:30;21934800
147158777;2;02/10/2020 10:53;21899700
147048777;1;17/02/2020 10:32;21934800
147543177;2;01/05/2020 15:48;21683100
147709377;1;12/06/2020 09:10;21934800
147788177;2;14/07/2020 14:20;21934800
147873577;1;30/06/2020 13:27;21899700
147945577;2;29/07/2020 15:21;21934800
149493377;1;23/12/2020 08:46;21899700
150023177;1;05/03/2021 12:59;21899700
150115977;1;19/03/2021 11:29;21899700
150313177;1;23/04/2021 10:59;21899700
151867977;1;24/09/2021 13:00;21899700
150544977;1;18/05/2021 11:38;21899700
152045177;1;08/10/2021 12:00;21934800
152392177;1;19/11/2021 11:09;21934800
152503577;1;10/01/2022 13:53;21899700
150693577;1;11/06/2021 13:04;21934800
150898177;1;02/07/2021 11:48;21934800
152849777;1;07/01/2022 10:16;21899700
153080577;1;21/02/2022 11:42;21899700
151897977;1;10/12/2021 11:29;21899700
152293377;1;05/11/2021 11:10;21934800
152615977;1;04/01/2022 08:21;21899700
152707377;1;15/12/2021 14:55;21899700
153197777;1;04/02/2022 10:37;21934800
149578577;1;08/01/2021 11:37;21934800
149665577;1;08/01/2021 12:01;21899700
150168377;1;26/03/2021 11:06;21899700
150733777;1;11/06/2021 11:06;21934800
150308177;1;23/04/2021 09:56;21899700
150335777;2;23/04/2021 10:30;21899700
150351177;1;23/04/2021 11:30;21899700
150354777;3;07/05/2021 09:58;21934800
152542977;1;03/12/2021 10:57;21934800
150735777;1;18/06/2021 11:33;21934800
151149977;1;23/07/2021 12:12;21934800
151261577;1;30/07/2021 10:22;21899700
151276377;1;06/08/2021 10:36;21899700
151620177;1;03/09/2021 11:34;21934800
151624377;3;02/11/2021 15:02;21934800
151986777;1;15/10/2021 10:44;21899700
152025977;1;20/01/2022 11:54;21934800
152160777;1;27/10/2021 12:38;21899700
152189177;3;29/10/2021 11:12;21899700
152718777;1;27/01/2022 11:50;21899700
152758777;1;18/01/2022 14:24;21934800
